country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
World,7150145,67547,407584,2501,3493100.0,3249461.0,53755,917,52,0,0
USA,2015348,7899,112738,269,765622.0,1136988.0,16897,6091,341,21519436,65037
Brazil,694116,2154,37312,813,302084.0,354720.0,8318,3267,176,999836,4706
Russia,476658,8985,5971,112,230688.0,239999.0,2300,3266,41,13016023,89193
Spain,288797,167,27136,0,,,617,6177,580,4465338,95508
UK,287399,1205,40597,55,,,516,4235,598,5731576,84457
India,265869,8383,7473,266,129088.0,129308.0,8944,193,5,4774434,3462
Italy,235278,280,33964,65,166584.0,34730.0,283,3891,562,4236535,70063
Peru,196515,0,5465,0,86219.0,104831.0,1062,5966,166,1191956,36185
Germany,186149,280,8783,7,169600.0,7766.0,540,2222,105,4348880,51916
Iran,173832,2043,8351,70,136360.0,29121.0,2619,2071,100,1107254,13194
Turkey,171121,989,4711,19,141380.0,25030.0,625,2030,56,2377954,28215
France,154188,211,29209,54,71062.0,53917.0,1024,2363,448,1384633,21216
Chile,138846,4696,2264,74,95631.0,40951.0,1558,7267,118,728815,38147
Mexico,117103,3484,13699,188,84419.0,18985.0,378,909,106,336395,2611
Saudi Arabia,105283,3369,746,34,74524.0,30013.0,1632,3027,21,976815,28088
Pakistan,103671,4728,2067,65,34355.0,67249.0,111,470,9,705833,3200
Canada,96140,441,7830,30,54473.0,33837.0,1816,2549,208,1896822,50286
Qatar,70158,1368,57,3,45935.0,24166.0,241,24987,20,259646,92473
Bangladesh,68504,2735,930,42,14560.0,53014.0,1,416,6,410841,2496
Belgium,59348,122,9606,11,16315.0,33427.0,116,5122,829,949675,81964
Belarus,49453,823,276,7,23880.0,25297.0,92,5233,29,632993,66987
South Africa,48285,0,998,0,24364.0,22923.0,208,815,17,920064,15526
Netherlands,47739,165,6016,3,,,92,2786,351,414550,24197
Sweden,45133,68,4694,35,,,298,4471,465,275500,27290
Ecuador,43378,258,3642,21,21020.0,18716.0,228,2461,207,127576,7238
UAE,39376,568,281,5,22275.0,16820.0,1,3984,28,2500000,252973
Colombia,39236,0,1259,0,15322.0,22655.0,335,772,25,410719,8077
Singapore,38296,386,25,0,25368.0,12903.0,4,6549,4,408495,69859
Portugal,34885,192,1485,6,21156.0,12244.0,55,3421,146,873998,85699
Egypt,34079,0,1237,0,8961.0,23881.0,41,333,12,135000,1321
Kuwait,32510,662,269,5,21242.0,10999.0,166,7620,63,318284,74604
Indonesia,32033,847,1883,32,10904.0,19246.0,0,117,7,412980,1511
Switzerland,30972,7,1923,2,28700.0,349.0,29,3580,222,425154,49147
Ukraine,27462,463,797,9,12195.0,14470.0,304,628,18,431085,9854
Poland,27160,599,1166,9,12998.0,12996.0,160,718,31,1056396,27911
Ireland,25207,6,1683,4,22698.0,826.0,36,5109,341,348416,70613
Argentina,22794,0,670,6,7305.0,14819.0,274,505,15,198520,4395
Philippines,22474,579,1011,8,4637.0,16826.0,82,205,9,441396,4032
Afghanistan,20917,575,369,12,2171.0,18377.0,19,538,9,48305,1243
Romania,20604,125,1339,6,14826.0,4439.0,146,1071,70,506115,26299
Dominican Republic,20126,526,539,1,12158.0,7429.0,110,1857,50,94511,8718
Israel,18032,169,298,0,15102.0,2632.0,27,1961,32,662916,72075
Oman,17486,604,81,6,3793.0,13612.0,75,3431,16,111376,21851
Japan,17141,0,916,0,15139.0,1086.0,98,136,7,314483,2486
Austria,16968,66,672,0,15839.0,457.0,17,1885,75,494761,54954
Panama,16425,0,393,0,10218.0,5814.0,84,3811,91,72697,16867
Bahrain,15417,654,27,1,10326.0,5064.0,12,9085,16,374362,220613
Bolivia,13643,285,465,11,2086.0,11092.0,3,1170,40,37276,3196
Iraq,13481,1115,370,24,5572.0,7539.0,69,336,9,311980,7769
Armenia,13325,195,211,11,4099.0,9015.0,10,4497,71,70000,23625
Kazakhstan,12859,165,56,3,7376.0,5427.0,62,685,3,965089,51439
Nigeria,12486,0,354,0,3959.0,8173.0,7,61,2,76802,373
Denmark,11962,14,593,4,10792.0,577.0,16,2066,102,715100,123486
Serbia,11896,73,250,1,11348.0,298.0,15,1361,29,276810,31674
S. Korea,11814,38,273,0,10563.0,978.0,15,230,5,1018214,19861
Algeria,10265,111,715,8,6799.0,2751.0,24,234,16,0,0
Moldova,9807,107,353,12,5738.0,3716.0,318,2431,87,63328,15697
Czechia,9670,42,328,1,6979.0,2363.0,9,903,31,473747,44243
Ghana,9638,0,44,0,3636.0,5958.0,3,311,1,233734,7533
Norway,8561,14,239,1,8138.0,184.0,5,1580,44,262236,48396
Malaysia,8329,7,117,0,6694.0,1518.0,6,258,4,618360,19122
Morocco,8250,26,208,0,7370.0,672.0,15,224,6,316561,8583
Cameroon,8060,152,212,0,4748.0,3100.0,28,304,8,0,0
Azerbaijan,7876,323,93,5,4377.0,3406.0,66,777,9,343391,33887
Australia,7265,5,102,0,6706.0,457.0,3,285,4,1633515,64109
Guatemala,7055,263,252,22,1261.0,5542.0,5,394,14,31427,1756
Finland,7001,20,323,0,5800.0,878.0,6,1264,58,203439,36721
Honduras,6327,172,258,8,712.0,5357.0,13,639,26,21540,2177
Sudan,6081,0,359,0,2014.0,3708.0,0,139,8,401,9
Tajikistan,4609,80,48,0,2763.0,1798.0,0,484,5,0,0
Uzbekistan,4440,109,18,1,3357.0,1065.0,7,133,0,748555,22387
Senegal,4427,99,49,0,2699.0,1679.0,14,265,3,49180,2943
Djibouti,4278,71,31,3,2013.0,2234.0,0,4334,31,36497,36977
Guinea,4117,0,23,0,2877.0,1217.0,24,314,2,14407,1099
DRC,4106,90,88,3,537.0,3481.0,0,46,1,0,0
Luxembourg,4040,1,110,0,3901.0,29.0,2,6461,176,88234,141111
Hungary,4014,6,548,2,2284.0,1182.0,21,415,57,210749,21813
Nepal,3762,314,14,1,488.0,3260.0,0,129,0,257962,8865
Ivory Coast,3739,0,36,0,1818.0,1885.0,0,142,1,31549,1198
Haiti,3334,262,51,1,24.0,3259.0,0,293,4,7357,646
North Macedonia,3152,127,156,3,1653.0,1343.0,34,1513,75,37027,17773
Thailand,3119,7,58,0,2973.0,88.0,1,45,0,468175,6708
El Salvador,3104,89,55,2,1361.0,1688.0,92,479,8,108924,16798
Gabon,3101,0,21,0,833.0,2247.0,13,1396,9,16730,7529
Greece,3049,52,182,2,1374.0,1493.0,10,292,17,229519,22014
Kenya,2872,105,85,1,849.0,1938.0,7,53,2,98439,1834
Bulgaria,2727,16,160,0,1548.0,1019.0,12,392,23,90329,12994
Bosnia and Herzegovina,2704,31,160,1,2023.0,521.0,4,824,49,71820,21883
Venezuela,2377,0,22,0,487.0,1868.0,0,84,0,1343336,47233
Somalia,2368,34,84,1,470.0,1814.0,2,149,5,0,0
Croatia,2247,0,104,0,2128.0,15.0,2,547,25,68866,16769
Cuba,2200,9,83,0,1868.0,249.0,3,194,7,120536,10641
Ethiopia,2156,136,27,0,361.0,1768.0,32,19,0,147735,1287
Mayotte,2151,72,25,0,1654.0,472.0,12,7898,92,8150,29926
